tconst	titleType	originalTitle	isAdult	startYear	runtimeMinutes	genres	averageRating	directors	writers	country
tt0263491	movie	Jis Desh Mein Ganga Rehta Hain	0	2000	141	Comedy,Crime,Drama	4.9	Mahesh Manjrekar	Mahesh Manjrekar	IN
tt0265148	movie	Main Prem Ki Diwani Hoon	0	2003	197	Comedy,Drama,Musical	3.8	Sooraj R. Barjatya	Sooraj R. Barjatya	IN
tt0265343	movie	Monsoon Wedding	0	2001	114	Comedy,Drama,Romance	7.3	Mira Nair	Sabrina Dhawan	IN
tt0265452	movie	Officer	0	2001	173	Action,Crime,Drama	4.4	Naeem Sha	Naeem Sha	IN
tt0267363	movie	Chandni Bar	0	2001	150	Crime,Drama	7.6	Madhur Bhandarkar	Mohan Azaad,Madhur Bhandarkar,Masud Mirza	IN
tt0267667	movie	Lekroo	0	2000	133	Drama	8.2	Shrabani Deodhar	Ajey Jhankar	IN
tt0268401	movie	Kahin Pyaar Na Ho Jaaye	0	2000	159	Comedy,Drama,Musical	4.4	K. Muralimohana Rao	Sanjay Chhel,Abbaas Hierapurwala,Manoj Lalwani,Rajesh Malik,Sudhakar Sharma	IN
tt0270321	movie	Dr. Babasaheb Ambedkar	0	2000	197	Biography,History	8.8	Jabbar Patel	Daya Pawar,Arun Sadhu,Sooni Taraporevala	IN
tt0270880	movie	Champion	0	2000	140	Action,Comedy,Drama	4.6	Padam Kumar,Jana Sue Memel	Sanjay Masoomm	IN
tt0271197	movie	Snip!	0	2000	\N	Comedy,Thriller	5.5	Sunhil Sippy	Ruchi Narain,Sunhil Sippy	IN
tt0271604	movie	Kuch Khatti Kuch Meethi	0	2001	120	Comedy,Drama,Romance	4.7	Rahul Rawail	Rahul Rawail	IN
tt0271742	movie	Pyar Ki Dhun	0	2002	138	Drama,Romance	3.2	Samarjit Dasgupta	Shobha Dasgupta	IN
tt0271748	movie	Raju Chacha	0	2000	163	Action,Comedy,Drama	5.1	Anil Devgan	Anees Bazmee,Robin Bhatt,Javed Siddiqui	IN
tt0271996	movie	Bhai Thakur	0	2000	118	Action,Drama	4.4	William Hunt,Raja,Willy	\N	IN
tt0272543	movie	Censor	0	2001	165	Drama	3.3	Dev Anand	Dev Anand	IN
tt0272607	movie	Farz	0	2001	157	Action,Crime,Drama	4.4	Raj Kanwar	Sutanu Gupta	IN
tt0272651	movie	Hari-Bhari	0	2000	134	Drama,Family	7.5	Shyam Benegal	Priya Chandrasekar,Shama Zaidi	IN
tt0272688	movie	Kasoor	0	2001	151	Drama,Mystery,Thriller	6.1	Vikram Bhatt	Mahesh Bhatt,Girish Dhamija	IN
tt0272735	movie	Mujhe Meri Biwi Se Bachaao	0	2001	\N	Comedy,Crime,Family	3.5	Harry Baweja	Harry Baweja,Anees Bazmee,Imtiaz Patel	IN
tt0272736	movie	Mujhse Dosti Karoge!	0	2002	149	Comedy,Drama,Family	5.1	Kunal Kohli	Kunal Kohli	IN
tt0273406	movie	Aashiq	0	2001	160	Action,Drama,Romance	4.0	Indra Kumar	Rajeev Kaul	IN
tt0273535	movie	Dil Ne Phir Yaad Kiya	0	2001	\N	Drama,Musical,Romance	3.4	Rajat Rawail	Rajat Rawail	IN
tt0273884	movie	Nidaan	0	2000	146	Drama,Romance	6.5	Mahesh Manjrekar	Gautam Joglekar,Mahesh Manjrekar,Marudhabharani	IN
tt0274019	movie	Pyaar Diwana Hota Hai	0	2002	148	Comedy,Drama,Romance	4.0	Kirti Kumar	S.M. Ahale,Shashi,Javed Siddiqui	IN
tt0275381	movie	Grahan	0	2001	110	Crime,Drama	5.3	Shashilal K. Nair	Ranjit Kapoor,Sujit Sen	IN
tt0277981	movie	Rahul	0	2001	151	Drama	5.3	Prakash Jha	Farhan,Farhaan Salaruddin,Anuradha Tiwari	IN
tt0278291	movie	Ajnabee	0	2001	165	Action,Crime,Drama	6.3	Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla	Robin Bhatt,Sanjeev Duggal,Shyam Goel,Neeraj Vora	IN
tt0278522	movie	Jodi No.1	0	2001	180	Comedy,Crime,Romance	5.8	David Dhawan	Rumi Jaffery,Imtiaz Patel,Yunus Sajawal	IN
tt0279021	movie	Chhupa Rustam: A Musical Thriller	0	2001	127	Drama,Musical,Romance	4.6	Aziz Sejawal	Aadesh K. Arjun,Rajeev Kaul	IN
tt0280465	movie	Bawandar	0	2000	125	Drama	7.0	Jag Mundhra	Ashok Mishra,Sudha Arora,Hariram Acharya,Deepak Purohit,Jag Mundhra,H. Banerjee	IN
tt0281102	movie	Pyaar Tune Kya Kiya...	0	2001	123	Drama,Romance,Thriller	5.7	Rajat Mukherjee	Rajat Mukherjee,Rajnish Thakur	IN
tt0283911	movie	Bas Itna Sa Khwaab Hai...	0	2001	169	Drama,Romance,Thriller	3.8	Goldie Behl	Mona Alvi,Srishti Behl Arya,Goldie Behl,Manu Chopra,Tigmanshu Dhulia,Nida Fazli,Dev Kohli,Shyam Raj	IN
tt0284083	movie	Ek Rishtaa: The Bond of Love	0	2001	174	Drama	5.2	Suneel Darshan	Suneel Darshan,Robin Bhatt,K.K. Singh,Ravi Shankar Jaiswal	IN
tt0284137	movie	Gadar: Ek Prem Katha	0	2001	170	Action,Drama,Romance	7.3	Anil Sharma	Shaktimaan Talwar	IN
tt0284328	movie	Mujhe Kucch Kehna Hai	0	2001	135	Drama,Romance	4.7	Satish Kaushik	Rumi Jaffery,A. Karunakaran	IN
tt0284479	movie	Shararat	0	2002	155	Comedy,Drama,Romance	4.8	Gurudev Bhalla	Urmi Juvekar,Tanveer Khan	IN
tt0284999	movie	Dattak	0	2001	125	Drama	7.8	Gul Bahar Singh	Partha Banerjee,Subbir Mukherjee	IN
tt0285319	movie	Paagalpan	0	2001	146	Action,Drama,Romance	6.9	Joy Augustine,Ritesh Kumar	Joy Augustine,Hriday Dubey	IN
tt0285868	movie	Pandavas: The Five Warriors	0	2000	110	Action,Animation,Drama	4.6	Usha Ganesarajah	\N	IN
tt0285958	movie	Pyaar Ishq Aur Mohabbat	0	2001	168	Drama,Musical,Romance	4.3	Rajiv Rai	Shabbir Boxwala,Rajiv Rai,Naeem Sha	IN
tt0286504	movie	Beti No. 1	0	2000	\N	Comedy,Drama,Family	3.8	Rama Rao Tatineni	Santosh Saroj	IN
tt0287537	movie	Love Ke Liye Kuch Bhi Karega	0	2001	131	Comedy,Crime,Romance	6.0	Eeshwar Nivas	Rajnish Thakur	IN
tt0289725	movie	Jung	0	2000	147	Action,Crime,Drama	4.2	Sanjay Gupta	Anurag Kashyap,Abhinav Kashyap,Anand S. Vardhan	IN
tt0289845	movie	Aks	0	2001	184	Action,Crime,Horror	5.7	Rakeysh Omprakash Mehra	Renzil D'Silva,Rakeysh Omprakash Mehra,Kamlesh Pandey	IN
tt0292113	movie	Mitr: My Friend	0	2002	104	Drama	6.8	Revathi	Priya V.,Sudha Kongara,P.K. Mishra,Thakor Shivaji Pravinji,Subba Iyer	IN
tt0292490	movie	Dil Chahta Hai	0	2001	183	Comedy,Drama,Romance	8.0	Farhan Akhtar	Kassim Jagmagia,Farhan Akhtar,Karan Vishwanath Kashyap,Karan Kashyap	IN
tt0292527	movie	Green Card Fever	0	2003	100	Comedy,Drama,Romance	5.7	Bala Rajasekharuni	Bala Rajasekharuni	IN
tt0292552	movie	Hum Ho Gaye Aap Ke	0	2001	168	Drama,Musical,Romance	4.4	Ahathian,Sunil Kumar Agrawal	Sunil Kumar Agrawal,Ahathian	IN
tt0292740	movie	Yeh Raaste Hain Pyaar Ke	0	2001	149	Action,Drama,Romance	4.0	Deepak S. Shivdasani	Robin Bhatt,Kader Khan,Deepak S. Shivdasani	IN
tt0293342	movie	Lajja	0	2001	202	Action,Crime,Drama	6.6	Rajkumar Santoshi	Ranjit Kapoor,Haroon Rashid,Ashok Rawat,Rajkumar Santoshi	IN
tt0294528	movie	Dil Ki Dhadkan	0	2000	\N	Drama,Romance	\N	\N	\N	IN
tt0294662	movie	Kaante	0	2002	150	Action,Crime,Drama	6.6	Sanjay Gupta	Sanjay Gupta,Yash Keswani,Vinay,Milap Zaveri,Rahul Singh,Vinay Kamath	IN
tt0295603	movie	Shirdi Sai Baba	0	2001	150	Drama,Mystery	4.6	Deepak Balraj Vij,Shiv Dutt Sharma	Pandurang Dixit,Vikas Kapoor	IN
tt0296574	movie	Company	0	2002	142	Action,Crime,Drama	7.9	Ram Gopal Varma	H. Banerjee,Mankombu Gopalakrishnan,Jaideep Sahni	IN
tt0297241	movie	Kyo Kii... Main Jhuth Nahin Bolta	0	2001	131	Comedy,Drama,Fantasy	5.5	David Dhawan	David Dhawan,Imtiaz Patel,Yunus Sajawal	IN
tt0297983	movie	Ittefaq	0	2001	138	Action,Comedy,Drama	4.9	Sanjay Khanna	Imtiaz Patel,Yunus Sajawal,Sameer	IN
tt0298606	movie	Yeh Teraa Ghar Yeh Meraa Ghar	0	2001	175	Comedy,Drama	5.9	Priyadarshan	Priyadarshan,Neeraj Vora	IN
tt0298607	movie	Yeh Zindagi Ka Safar	0	2001	146	Drama,Romance	3.6	Tanuja Chandra	Gajra Kottary	IN
tt0299027	movie	Maya	0	2001	105	Drama	7.1	Digvijay Singh	Emmanuel Pappas,Digvijay Singh,Dinesh G. Thakur	IN
tt0299108	movie	Rehnaa Hai Terre Dil Mein	0	2001	160	Comedy,Drama,Musical	7.5	Gautham Vasudev Menon	Gautham Vasudev Menon,Vipul D. Shah	IN
tt0300028	movie	Indian	0	2001	178	Action,Crime,Drama	5.5	N. Maharajan	Sanjay Masoomm	IN
tt0301179	movie	Deewaanapan	0	2001	153	Action,Romance	4.7	Asshu Trikha	Rajesh Singh,Asshu Trikha	IN
tt0301250	movie	Tera Mera Saath Rahen	0	2001	148	Drama	5.1	Mahesh Manjrekar	Deepak Kulkarni,Mahesh Manjrekar,Sameer	IN
tt0302524	movie	Ehsaas: The Feeling	0	2001	116	Drama,Romance	5.3	Mahesh Manjrekar	Deepak Kulkarni	IN
tt0305173	movie	Aamdani Atthanni Kharcha Rupaiya	0	2001	150	Comedy,Drama,Family	4.9	K. Raghavendra Rao,A.S. Ravindra Babu	Anwar Khan,V. Shekhar	IN
tt0305455	movie	Pitaah	0	2002	126	Action,Crime,Drama	6.4	Mahesh Manjrekar	Ravi Shankar Jaiswal,Mahesh Manjrekar,K.K. Singh,Teja	IN
tt0306434	movie	Aankhen	0	2002	165	Crime,Drama,Thriller	7.4	Vipul Amrutlal Shah	Shobhna Desai,Aatish Kapadia,Vipul Amrutlal Shah	IN
tt0306840	movie	Koi Mere Dil Se Poochhe	0	2002	165	Drama,Musical,Romance	3.4	Vinay Shukla	\N	IN
tt0306855	movie	Style	0	2001	157	Comedy,Musical,Mystery	6.7	N. Chandra	N. Chandra	IN
tt0307116	movie	Maa Tujhhe Salaam	0	2002	162	Action,Drama	3.8	Tinnu Verma	Tinnu Verma,Ravi Shankar Jaiswal	IN
tt0307682	movie	Yeh Dil Aashiqanaa	0	2002	152	Action,Romance	4.5	Kuku Kohli	\N	IN
tt0307866	movie	Filhaal...	0	2002	151	Drama,Romance	5.7	Meghna Gulzar	Meghna Gulzar	IN
tt0307873	movie	Raaz	0	2002	151	Drama,Horror,Musical	6.6	Vikram Bhatt	Mahesh Bhatt,Girish Dhamija	IN
tt0308347	movie	Haan Maine Bhi Pyaar Kiya	0	2002	174	Drama,Musical,Romance	3.6	Dharmesh Darshan	Dharmesh Darshan,Naseem Mukri,Raj Sinha	IN
tt0309087	movie	Yeh Mohabbat Hai	0	2002	\N	Action,Romance	5.3	Umesh Mehra	Usmon Azim,Rafiq Talukdar,Milap Zaveri	IN
tt0310254	movie	Tumko Na Bhool Paayenge	0	2002	160	Action,Comedy,Crime	5.7	Pankaj Parashar	Girish,Girish,Rumi Jaffery,Suparn	IN
tt0311356	movie	Jang Aur Aman	0	2002	135	Documentary,War	8.1	Anand Patwardhan	Anand Patwardhan	IN
tt0311411	movie	Kranti	0	2002	142	Action,Drama	4.0	Naresh Malhotra	Sanjay Masoomm	IN
tt0311413	movie	Krodh	0	2000	141	Action,Comedy,Drama	4.6	Ashok Honda	Naeem-Ejaz,Santosh Saroj	IN
tt0312664	movie	Escape from Taliban	0	2003	133	Adventure,Drama,Thriller	4.5	Ujjwal Chatterjee	Sushmita Banerjee,Shubhrajyoti Barat,Ujjwal Chatterjee	IN
tt0312883	movie	Kya Yehi Pyaar Hai	0	2002	145	Drama,Romance	4.2	K. Muralimohana Rao	Javed Siddiqui	IN
tt0313395	movie	Kitne Door... Kitne Paas	0	2002	146	Comedy,Romance	4.5	Mehul Kumar	Mehul Kumar,Imtiaz Patel,Yunus Sajawal	IN
tt0313844	movie	16 December	0	2002	158	Action,Thriller	6.9	Mani Shankar	Mani Shankar	IN
tt0314006	movie	Dum	0	2003	166	Action,Crime,Drama	5.7	Eeshwar Nivas	Mehran,Eeshwar Nivas,Bunty Soorma	IN
tt0314008	movie	Durga	0	2002	116	Drama	4.9	J.D. Chakravarthi	\N	IN
tt0314186	movie	Humko Tumse Pyaar Hai	0	2006	128	Drama,Romance	5.4	Vikram Bhatt,Bunty Soorma	Ashok Roy,Javed Siddiqui,Bunty Soorma	IN
tt0315632	movie	Road	0	2002	134	Crime,Drama,Thriller	5.7	Rajat Mukherjee	Rajnish Thakur	IN
tt0315642	movie	Wazir	0	2016	103	Action,Crime,Drama	7.1	Bejoy Nambiar	Vidhu Vinod Chopra,Abhijat Joshi,Bejoy Nambiar,Natasha Sahgal,Shubhra Swarup,Abhijeet Shirish Deshpande,Gazal Dhaliwal	IN
tt0315777	movie	Ansh: The Deadly Part	0	2002	180	Crime,Drama,Thriller	6.5	Rajan Johri	Rajan Johri	IN
tt0316154	movie	Lal Salaam	0	2002	131	Action,Drama	5.9	Gaganvihari Borate	Suresh Dwadeshiwar,Arshad Jamal,Arshad Siddiqui	IN
tt0316911	movie	Yeh Kaisi Mohabbat	0	2002	160	Drama,Musical,Romance	4.3	Dinkar Kapoor	Aadesh K. Arjun,Y.N. Kapoor	IN
tt0317811	movie	Kasam	0	2001	210	Action,Drama	2.9	Shibu Mitra	Madan Joshi,Jyothika Mittra,Faiz Saleem	IN
tt0318956	movie	Tum Se Achcha Kaun Hai	0	2002	150	Drama,Musical,Romance	4.9	Deepak Anand,Rahul Sharma	\N	IN
tt0319020	movie	Awara Paagal Deewana	0	2002	158	Action,Comedy,Crime	6.3	Vikram Bhatt	Anand S. Vardhan,Mangesh Kulkarni,Neeraj Vora,Khalid Azmi	IN
tt0319736	movie	The Legend of Bhagat Singh	0	2002	155	Biography,Drama,History	8.1	Rajkumar Santoshi	Ranjit Kapoor,Piyush Mishra,Anjum Rajabali,Rajkumar Santoshi	IN
tt0320097	movie	Hum Kisi Se Kum Nahin	0	2002	161	Action,Comedy,Drama	4.2	David Dhawan	Robin Bhatt,Rumi Jaffery,Javed Siddiqui	IN
tt0321067	movie	Ab Ke Baras	0	2002	\N	Action,Romance,Thriller	3.5	Raj Kanwar	Robin Bhatt,Sutanu Gupta,Ravi Rai	IN
tt0321494	movie	Bollywood Queen	0	2002	89	Musical,Romance	4.7	Jeremy Wooding	William Shakespeare,Neil Spencer,Jeremy Wooding	IN
tt0322653	movie	Mere Yaar Ki Shaadi Hai	0	2002	158	Comedy,Drama,Romance	5.5	Sanjay Gadhvi	Sanjay Gadhvi,Mayur Puri	IN
tt0322936	movie	Kehtaa Hai Dil Baar Baar	0	2002	119	Comedy,Drama,Romance	4.7	Rahul Dholakia	Raman Bharadwaj,Neeraj Vora	IN
tt0323013	movie	Lakshya	0	2004	186	Action,Drama,Romance	7.8	Farhan Akhtar	Javed Akhtar,Karan Kashyap,Karan Vishwanath Kashyap	IN
tt0323415	movie	Nishad	0	2002	118	Drama	5.9	Shaji N. Karun	Shaji N. Karun,Valsalam-Vathussery	IN
tt0324951	movie	23rd March 1931: Shaheed	0	2002	188	Biography,Drama,History	5.3	Guddu Dhanoa,Tinu Verma	Sultanu Gupta,Sutanu Gupta,Sanjay Masoom,Sanjay Masoomm	IN
tt0325041	movie	Badhaai Ho Badhaai	0	2002	155	Comedy,Drama,Musical	4.7	Satish Kaushik	Kavita Choudhary	IN
tt0326576	movie	Humraaz	0	2002	173	Romance,Thriller	6.4	Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla	Shiraz Ahmed,Shyam Goel	IN
tt0326600	movie	Maine Dil Tujhko Diya	0	2002	154	Action,Comedy,Romance	4.0	Sohail Khan,Azim Shaikh	Ranjeet Gupta	IN
tt0326722	movie	Agni Varsha	0	2002	126	Drama,Fantasy,Romance	4.6	Arjun Sajnani	Girish Karnad,Anil Mehta,Arjun Sajnani,Jayshree Talpade,Atul Tiwari	IN
tt0326745	movie	Baaghi	0	2000	156	Action,Crime,Drama	4.3	Rajesh Ram Singh	Ikram Akhtar,Jalees Sherwani	IN
tt0326805	movie	Chori Chori	0	2003	135	Comedy,Drama,Musical	4.9	Milan Luthria	\N	IN
tt0326983	movie	Jaani Dushman: Ek Anokhi Kahani	0	2002	170	Action,Fantasy,Horror	2.7	Rajkumar Kohli	AbhishekSinha78,Naveena Bhandari,Ravi Shankar Jaiswal,Rajkumar Kohli,Rajendra Singh 'Atish',K.K. Singh,Abhishek Sinha	IN
tt0327004	movie	Kuch Tum Kaho Kuch Hum Kahein	0	2002	171	Action,Drama,Romance	6.0	K. Ravi Shankar	\N	IN
tt0327005	movie	Kyaa Dil Ne Kahaa	0	2002	\N	Comedy,Drama,Romance	2.9	Sanjay Chhel	\N	IN
tt0327071	movie	Om Jai Jagadish	0	2002	172	Drama,Musical,Romance	5.5	Anupam Kher	Rumi Jaffery,Rahul Nanda	IN
tt0328503	movie	Taj Mahal: An Eternal Love Story	0	2005	164	Drama,History,Musical	5.2	Akbar Khan	Mohafiz Hyder,Akbar Khan,Fatima Meer,Rajeev Mirza	IN
tt0328671	movie	Yeh Hai Jalwa	0	2002	165	Comedy,Drama,Romance	4.8	David Dhawan	Ikram Akhtar,Rumi Jaffery,Imtiaz Patel,Yunus Sajawal	IN
tt0328729	movie	Dil Maange More!!!	0	2004	123	Musical,Romance	5.2	Ananth Mahadevan	Kiran Kotrial,Ananth Mahadevan,Javed Siddiqui	IN
tt0328998	movie	Dil Hai Tumhaara	0	2002	185	Drama,Romance	5.6	Kundan Shah	Rajkumar Santoshi,Kundan Shah,Subrat Sinha	IN
tt0329354	movie	Marigold	0	2007	110	Comedy,Music,Romance	4.8	Willard Carroll	Willard Carroll	IN
